Key,EN,UK,RU
extensionDescription,"An extension for jut.su that allows videos to play automatically, skip anime intros, and automatically start the next episode.","Розширення для jut.su, яке дозволяє відео автоматично відтворюватися, пропускати аніме-інтро та автоматично запускати наступну серію.","Расширение для jut.su, которое позволяет видео воспроизводиться автоматически, пропускать аниме-интро и автоматически запускать следующую серию."
extension_description,"Turns the extension on or off.<br><span class='note'>When off, all features stop working. In Firefox (and some browsers), allow autoplay in the tab for episode auto-start.</span>","Вмикає або вимикає розширення.<br><span class='note'>Якщо вимкнено, усі функції перестають працювати. У Firefox (і деяких браузерах) дозвольте автозапуск у вкладці для автостарту серій.</span>","Включает или отключает расширение.<br><span class='note'>Если отключено, все функции перестают работать. В Firefox (и некоторых браузерах) разрешите автозапуск во вкладке для автозапуска серий.</span>"
extension,Extension,Розширення,Расширение
,,,
status_enabled,Enabled,Увімкнено,Включено
status_disabled,Disabled,Вимкнено,Отключено
,,,
next_series_before_end,Next episode before credits,Наступна серія до титрів,Следующая серия до титров
next_series_after_end,Next episode after credits,Наступна серія після титрів,Следующая серия после титров
skip_intro,Skip intro,Пропустити інтро,Пропустить интро
video_from_start,Play video from the start,Відтворити відео з початку,Воспроизвести видео с начала
,,,
click_to_fullscreen,Fullscreen on click (Overlay),На весь екран по кліку (Оверлей),Полноэкранный режим по клику (Оверлей)
add_speed_control,Add video speed control,Додати керування швидкістю відео,Добавить управление скоростью видео
mark_video_timeline,Mark intro and credits on timeline,Позначити інтро та титри на таймлайні,Отметить интро и титры на таймлайне
pseudo_fullscreen,Pseudo-fullscreen mode,Псевдо-повноекранний режим,Псевдо-полноэкранный режим
fullScreen,Fullscreen,Повноекранний режим,Полноэкранный режим
exit,Exit,Вихід,Выход
showMain,Show main features,Показати основні функції,Показать основные функции
showAdditional,Show additional features,Показати додаткові функції,Показать дополнительные функции
open_settings_and_help,Open settings and help,Відкрити налаштування та довідку,Открыть настройки и справку
,,,
next_series_before_end_description,"Switches to the next episode as soon as credits start.<br><span class='note'>Triggers when the credits begin rolling.</span>","Перемикає на наступну серію, щойно починаються титри.<br><span class='note'>Стається, коли титри з’являються.</span>","Переключает на следующую серию, как только начинаются титры.<br><span class='note'>Срабатывает, когда титры появляются.</span>"
next_series_after_end_description,"Switches to the next episode after credits end.<br><span class='note'>Waits until the video is fully done.</span>","Перемикає на наступну серію після титрів.<br><span class='note'>Чекає, поки відео повністю закінчиться.</span>","Переключает на следующую серию после титров.<br><span class='note'>Ждёт, пока видео полностью закончится.</span>"
skip_intro_description,"Skips anime intros automatically.<br><span class='benefit'>Saves time for faster watching.</span>","Пропускає інтро аніме автоматично.<br><span class='benefit'>Економить час для швидшого перегляду.</span>","Пропускает интро аниме автоматически.<br><span class='benefit'>Экономит время для быстрого просмотра.</span>"
video_from_start_description,"Starts videos from the beginning, ignoring past progress.<br><span class='benefit'>Perfect for rewatching.</span>","Починає відео з початку, ігноруючи попередній прогрес.<br><span class='benefit'>Ідеально для повторного перегляду.</span>","Начинает видео с начала, игнорируя прошлый прогресс.<br><span class='benefit'>Отлично для повторного просмотра.</span>"
click_to_fullscreen_description,"Adds an overlay for quick fullscreen access.<br><span class='option'>Fullscreen:</span> Go fullscreen<br><span class='option'>Exit:</span> Close the overlay<br><span class='note'>Designed for phones to replace two taps with one click.</span>","Додає оверлей для швидкого доступу до повного екрану.<br><span class='option'>Повноекранний режим:</span> Увійти в повний екран<br><span class='option'>Вихід:</span> Закрити оверлей<br><span class='note'>Створено для телефонів, щоб замінити два натискання одним кліком.</span>","Добавляет оверлей для быстрого входа в полноэкранный режим.<br><span class='option'>Полноэкранный режим:</span> Войти в полноэкранный режим<br><span class='option'>Выход:</span> Закрыть оверлей<br><span class='note'>Создано для телефонов, чтобы заменить два нажатия одним кликом.</span>"
add_speed_control_description,"Adds a speed control panel to the player.<br>A button appears, and on hover, a slider pops up.<br><span class='options'>Speeds: 0.5x to 2x, adjustable in 0.1 steps.</span>","Додає панель керування швидкістю до плеєра.<br>З’являється кнопка, а при наведенні — повзунок.<br><span class='options'>Швидкості: від 0.5x до 2x, крок 0.1.</span>","Добавляет панель управления скоростью в плеер.<br>Появляется кнопка, а при наведении — ползунок.<br><span class='options'>Скорости: от 0.5x до 2x, шаг 0.1.</span>"
